PIS1.started,PIS1.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,,date,expName,psychopyVersion,OS,frameRate,PIS2.started,PIS2.stopped,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.time,PIS3.started,PIS3.stopped,mouse_19.x,mouse_19.y,mouse_19.leftButton,mouse_19.midButton,mouse_19.rightButton,mouse_19.time,Consent.started,Consent.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions_2.started,Instructions_2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.time,Instruction_Animation.started,Instruction_Animation.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time,Line0.started,Line0.stopped,Demo c0 x position:,Demo c0 y position:,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,Halo_01.started,Halo_01.stopped,Demo c1 x position:,Demo c1 y position:,mouse_16.x,mouse_16.y,mouse_16.leftButton,mouse_16.midButton,mouse_16.rightButton,mouse_16.time,Halo_02.started,Halo_02.stopped,Demo c2 x position:,Demo c2 y position:,mouse_17.x,mouse_17.y,mouse_17.leftButton,mouse_17.midButton,mouse_17.rightButton,mouse_17.time,Halo_03.started,Halo_03.stopped,Demo c3 x position:,Demo c3 y position:,mouse_18.x,mouse_18.y,mouse_18.leftButton,mouse_18.midButton,mouse_18.rightButton,mouse_18.time,Instructions2.started,Instructions2.stopped,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.time
1E-04,0.6856,-0.156072591,-0.262367825,1,0,0,0.6825,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,0.6857,0.9999,-0.156072591,-0.262367825,1,0,0,0.3118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,1.0001,1.3007,-0.156072591,-0.262367825,1,0,0,0.2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,1.3008,2.2164,y,0.8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,2.2164,2.9169,-0.156072591,-0.262367825,1,0,0,0.6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.917,4.4164,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4164,5.0173,-0.003363258,0.006005836,-0.062160305,-0.025915053,1,0,0,0.5987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0175,5.7333,-0.256003309,-0.058039262,-0.1118573,-0.025359497,1,0,0,0.7138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7337,6.7661,-0.35071753,-0.106608068,-0.121533,-0.036942546,1,0,0,1.03,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7663,7.9841,-0.428300389,-0.190487111,-0.130657349,-0.058110012,1,0,0,1.2156,,,,,,,,
,,,,,,,,,2024-03-13_19h40.25.628,circleBounceNew,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9843,9.3497,-0.126950616,-0.058110012,1,0,0,1.3628